idx,difficulty_level,url
0,1,https://so.gushiwen.org/shiwenv_c40eeba65a3e.aspx
1,1,https://so.gushiwen.org/shiwenv_2fbbfefd6647.aspx
2,1,https://so.gushiwen.org/shiwenv_9dcf133d25cc.aspx
3,1,https://so.gushiwen.org/shiwenv_0f81015a040c.aspx
4,1,https://so.gushiwen.org/shiwenv_ee72baa043c8.aspx
5,2,https://so.gushiwen.org/shiwenv_881017d68265.aspx
6,2,https://so.gushiwen.org/shiwenv_cecffc2a400d.aspx
7,1,https://so.gushiwen.org/shiwenv_796882166eaf.aspx
8,2,https://so.gushiwen.org/shiwenv_5796865dca4a.aspx
9,2,https://so.gushiwen.org/shiwenv_227d04b75b23.aspx
10,2,https://so.gushiwen.org/shiwenv_efec283b31e0.aspx
11,1,https://so.gushiwen.org/shiwenv_a40af7ba79a0.aspx
12,2,https://so.gushiwen.org/shiwenv_d3ba5a3a4d29.aspx
13,1,https://so.gushiwen.org/shiwenv_214bea9d63ff.aspx
14,1,https://so.gushiwen.org/shiwenv_4c1364cb1da5.aspx
15,1,https://so.gushiwen.org/shiwenv_82fd6027caf3.aspx
16,2,https://so.gushiwen.org/shiwenv_aff9c242145a.aspx
17,2,https://so.gushiwen.org/shiwenv_dae462ae4a71.aspx
18,1,https://so.gushiwen.org/shiwenv_fe9b8193fd43.aspx
19,1,https://so.gushiwen.org/shiwenv_4083a01ac833.aspx
20,1,https://so.gushiwen.org/shiwenv_a167901c9c90.aspx
21,1,https://so.gushiwen.org/shiwenv_68fe1f940020.aspx
22,2,https://so.gushiwen.org/shiwenv_8cacf9e0bd42.aspx
23,1,https://so.gushiwen.org/shiwenv_32c4c7921ebe.aspx
24,1,https://so.gushiwen.org/shiwenv_958ebfc84111.aspx
25,1,https://so.gushiwen.org/shiwenv_7ac830824d2c.aspx
26,2,https://so.gushiwen.org/shiwenv_625762a4b089.aspx
27,1,https://so.gushiwen.org/shiwenv_e8c610c2308b.aspx
28,1,https://so.gushiwen.org/shiwenv_1a7af111b00e.aspx
29,2,https://so.gushiwen.org/shiwenv_cd908d31f388.aspx
30,1,https://so.gushiwen.org/shiwenv_c6ddf6c13190.aspx
31,1,https://so.gushiwen.org/shiwenv_6eb36c4ece81.aspx
32,1,https://so.gushiwen.org/shiwenv_720b46d38537.aspx
33,2,https://so.gushiwen.org/shiwenv_3f09584ea709.aspx
34,1,https://so.gushiwen.org/shiwenv_2d549d9a09f4.aspx
35,1,https://so.gushiwen.org/shiwenv_8c3f69e79d33.aspx
36,1,https://so.gushiwen.org/shiwenv_cd44418f685f.aspx
37,1,https://so.gushiwen.org/shiwenv_eda29e11ff49.aspx
38,1,https://so.gushiwen.org/shiwenv_42e12feb4ebb.aspx
39,1,https://so.gushiwen.org/shiwenv_20f074f6d770.aspx
40,1,https://so.gushiwen.org/shiwenv_63f2cb1073ff.aspx
41,1,https://so.gushiwen.org/shiwenv_4a0d548bebb3.aspx
42,1,https://so.gushiwen.org/shiwenv_804144e6b0dd.aspx
43,2,https://so.gushiwen.org/shiwenv_a384f95850a5.aspx
44,1,https://so.gushiwen.org/shiwenv_3fa812d40687.aspx
45,1,https://so.gushiwen.org/shiwenv_0f23fdb7b5f9.aspx
46,3,https://so.gushiwen.org/shiwenv_12e69f000057.aspx
47,2,https://so.gushiwen.org/shiwenv_2d07a29f2774.aspx
48,3,https://so.gushiwen.org/shiwenv_a0661b92e0c0.aspx
49,1,https://so.gushiwen.org/shiwenv_d4b985ecee90.aspx
50,1,https://so.gushiwen.org/shiwenv_7661425bdf0a.aspx
51,1,https://so.gushiwen.org/shiwenv_305d29fb64aa.aspx
