idx,poem_text,url
0,"客从东方来，衣上灞陵雨。
问客何为来，采山因买斧。
冥冥花正开，飏飏燕新乳。
昨别今已春，鬓丝生几缕。",https://so.gushiwen.org/shiwenv_c40eeba65a3e.aspx
1,"旅馆谁相问，寒灯独可亲。
一年将尽夜，万里未归人。
寥落悲前事，支离笑此身。
愁颜与衰鬓，明日又逢春。",https://so.gushiwen.org/shiwenv_2fbbfefd6647.aspx
2,"枯藤老树昏鸦，
小桥流水人家，
古道西风瘦马。
夕阳西下，
断肠人在天涯。",https://so.gushiwen.org/shiwenv_9dcf133d25cc.aspx
3,"朝辞白帝彩云间，千里江陵一日还。
两岸猿声啼不住，轻舟已过万重山。",https://so.gushiwen.org/shiwenv_0f81015a040c.aspx
4,"西塞山前白鹭飞，桃花流水鳜鱼肥。
青箬笠，绿蓑衣，斜风细雨不须归。",https://so.gushiwen.org/shiwenv_ee72baa043c8.aspx
5,"楚人悲屈原，千载意未歇。
精魂飘何处，父老空哽咽。
至今沧江上，投饭救饥渴。
遗风成竞渡，哀叫楚山裂。
屈原古壮士，就死意甚烈。
世俗安得知，眷眷不忍决。
南宾旧属楚，山上有遗塔。
应是奉佛人，恐子就沦灭。
此事虽无凭，此意固已切。
古人谁不死，何必较考折。
名声实无穷，富贵亦暂热。
大夫知此理，所以持死节。",https://so.gushiwen.org/shiwenv_881017d68265.aspx
6,"西陆蝉声唱，南冠客思深。
不堪玄鬓影，来对白头吟。
露重飞难进，风多响易沉。
无人信高洁，谁为表予心？",https://so.gushiwen.org/shiwenv_cecffc2a400d.aspx
7,"田家少闲月，五月人倍忙。
夜来南风起，小麦覆陇黄。
妇姑荷箪食，童稚携壶浆，
相随饷田去，丁壮在南冈。
足蒸暑土气，背灼炎天光，
力尽不知热，但惜夏日长。
复有贫妇人，抱子在其旁，
右手秉遗穗，左臂悬敝筐。
听其相顾言，闻者为悲伤。
家田输税尽，拾此充饥肠。
今我何功德？曾不事农桑。
吏禄三百石，岁晏有余粮，
念此私自愧，尽日不能忘。",https://so.gushiwen.org/shiwenv_796882166eaf.aspx
8,"辛苦遭逢起一经，干戈寥落四周星。
山河破碎风飘絮，身世浮沉雨打萍。
惶恐滩头说惶恐，零丁洋里叹零丁。
人生自古谁无死？留取丹心照汗青。",https://so.gushiwen.org/shiwenv_5796865dca4a.aspx
9,"日午树阴正，独吟池上亭。
静看蜂教诲，闲想鹤仪形。
法酒调神气，清琴入性灵。
浩然机已息，几杖复何铭。",https://so.gushiwen.org/shiwenv_227d04b75b23.aspx
