idx,poem_text,url
0,客 从 东 方 来 衣 上 灞 陵 雨 问 客 何 为 来 采 山 因 买 斧 冥 冥 花 正 开 飏 飏 燕 新 乳 昨 别 今 已 春 鬓 丝 生 几 缕,https://so.gushiwen.org/shiwenv_c40eeba65a3e.aspx
1,旅 馆 谁 相 问 寒 灯 独 可 亲 一 年 将 尽 夜 万 里 未 归 人 寥 落 悲 前 事 支 离 笑 此 身 愁 颜 与 衰 鬓 明 日 又 逢 春,https://so.gushiwen.org/shiwenv_2fbbfefd6647.aspx
2,枯 藤 老 树 昏 鸦 小 桥 流 水 人 家 古 道 西 风 瘦 马 夕 阳 西 下 断 肠 人 在 天 涯,https://so.gushiwen.org/shiwenv_9dcf133d25cc.aspx
3,朝 辞 白 帝 彩 云 间 千 里 江 陵 一 日 还 两 岸 猿 声 啼 不 住 轻 舟 已 过 万 重 山,https://so.gushiwen.org/shiwenv_0f81015a040c.aspx
4,西 塞 山 前 白 鹭 飞 桃 花 流 水 鳜 鱼 肥 青 箬 笠 绿 蓑 衣 斜 风 细 雨 不 须 归,https://so.gushiwen.org/shiwenv_ee72baa043c8.aspx
5,楚 人 悲 屈 原 千 载 意 未 歇 精 魂 飘 何 处 父 老 空 哽 咽 至 今 沧 江 上 投 饭 救 饥 渴 遗 风 成 竞 渡 哀 叫 楚 山 裂 屈 原 古 壮 士 就 死 意 甚 烈 世 俗 安 得 知 眷 眷 不 忍 决 南 宾 旧 属 楚 山 上 有 遗 塔 应 是 奉 佛 人 恐 子 就 沦 灭 此 事 虽 无 凭 此 意 固 已 切 古 人 谁 不 死 何 必 较 考 折 名 声 实 无 穷 富 贵 亦 暂 热 大 夫 知 此 理 所 以 持 死 节,https://so.gushiwen.org/shiwenv_881017d68265.aspx
6,西 陆 蝉 声 唱 南 冠 客 思 深 不 堪 玄 鬓 影 来 对 白 头 吟 露 重 飞 难 进 风 多 响 易 沉 无 人 信 高 洁 谁 为 表 予 心,https://so.gushiwen.org/shiwenv_cecffc2a400d.aspx
7,田 家 少 闲 月 五 月 人 倍 忙 夜 来 南 风 起 小 麦 覆 陇 黄 妇 姑 荷 箪 食 童 稚 携 壶 浆 相 随 饷 田 去 丁 壮 在 南 冈 足 蒸 暑 土 气 背 灼 炎 天 光 力 尽 不 知 热 但 惜 夏 日 长 复 有 贫 妇 人 抱 子 在 其 旁 右 手 秉 遗 穗 左 臂 悬 敝 筐 听 其 相 顾 言 闻 者 为 悲 伤 家 田 输 税 尽 拾 此 充 饥 肠 今 我 何 功 德 曾 不 事 农 桑 吏 禄 三 百 石 岁 晏 有 余 粮 念 此 私 自 愧 尽 日 不 能 忘,https://so.gushiwen.org/shiwenv_796882166eaf.aspx
8,辛 苦 遭 逢 起 一 经 干 戈 寥 落 四 周 星 山 河 破 碎 风 飘 絮 身 世 浮 沉 雨 打 萍 惶 恐 滩 头 说 惶 恐 零 丁 洋 里 叹 零 丁 人 生 自 古 谁 无 死 留 取 丹 心 照 汗 青,https://so.gushiwen.org/shiwenv_5796865dca4a.aspx
9,日 午 树 阴 正 独 吟 池 上 亭 静 看 蜂 教 诲 闲 想 鹤 仪 形 法 酒 调 神 气 清 琴 入 性 灵 浩 然 机 已 息 几 杖 复 何 铭,https://so.gushiwen.org/shiwenv_227d04b75b23.aspx
